location,x,y,longitude,latitude
Afghanistan,345.289,691.725,"69,1725","34,5289"
Albania,413.275,198.189,"19,8189","41,3275"
Algeria,367.525,3.0420,11.1899,"36,7525"
American Samoa,-142.781,-1.707.025,"-170,7025","-14,2781"
Andorra,425.078,1.5211,4.1900,"42,5078"
Angola,-88.368,132.343,"13,2343","-8,8368"
Anguilla,182.170,-630.578,"-63,0578","18,217"
Antigua and Barbuda,171.172,-618.457,"-61,8457","17,1172"
Argentina,-346.051,-584.004,"-58,4004","-34,6051"
Armenia,401.820,445.146,"44,5146","40,182"
Aruba,12.5240,-700.270,"-70,027",5.1900
Australia,-352.835,1.491.281,"149,1281","-35,2835"
Austria,482.064,163.707,"16,3707","48,2064"
Azerbaijan,403.777,498.920,"49,892","40,3777"
Bahamas,250.582,-773.431,"-77,3431","25,0582"
Bahrain,262.154,505.832,"50,5832","26,2154"
Bangladesh,237.104,904.074,"90,4074","23,7104"
Barbados,131.000,-596.167,"-59,6167","13,1"
Belarus,539.000,275.667,"27,5667","53,9"
Belgium,508.467,4.3499,2.1900,"50,8467"
Belize,172.500,-887.667,"-88,7667","17,25"
Benin,6.3654,2.4183,3.1900,3.1900
Bermuda,322.915,-647.780,"-64,778","32,2915"
Bhutan,274.661,896.419,"89,6419","27,4661"
Bolivia (Plurinational State of),-165.000,-681.500,"-68,15","-16,5"
Bosnia and Herzegovina,438.486,183.564,"18,3564","43,8486"
Botswana,-246.545,259.086,"25,9086","-24,6545"
Brazil,-157.797,-479.297,"-47,9297","-15,7797"
British Virgin Islands,184.167,-646.167,"-64,6167","18,4167"
Brunei Darussalam,4.9403,1.149.481,"114,9481",9.1900
Bulgaria,426.975,233.242,"23,3242","42,6975"
Burkina Faso,12.3642,-15.383,"-1,5383",3.1900
Burundi,-33.822,293.644,"29,3644","-3,3822"
Cabo Verde,149.215,-235.087,"-23,5087","14,9215"
Cambodia,11.5625,1.049.160,"104,916",5.1900
Cameroon,3.8667,11.5167,4.1900,9.1900
Canada,454.166,-756.980,"-75,698","45,4166"
Caribbean Netherlands,12.1500,-682.667,"-68,2667",12.1899
Cayman Islands,192.866,-813.744,"-81,3744","19,2866"
Central African Republic,4.3612,185.550,"18,555",3.1900
Chad,12.1067,150.444,"15,0444",11.1899
Channel Islands,491.880,-21.049,"-2,1049","49,188"
Channel Islands,494.598,-25.353,"-2,5353","49,4598"
Chile,-334.569,-706.483,"-70,6483","-33,4569"
China,399.075,1.163.972,"116,3972","39,9075"
Hong Kong,222.796,1.141.887,"114,1887","22,2796"
"China, Macao SAR",222.006,1.135.461,"113,5461","22,2006"
"China, Taiwan Province of China",250.470,1.215.457,"121,5457","25,047"
Colombia,4.6097,-740.818,"-74,0818",6.1900
Comoros,-117.022,432.551,"43,2551","-11,7022"
Congo,-42.658,152.832,"15,2832","-4,2658"
Cook Islands,-212.300,-1.597.600,"-159,76","-21,23"
Costa Rica,9.9278,-840.807,"-84,0807",9.1900
Côte d'Ivoire,5.3453,-40.268,"-4,0268",2.1900
Croatia,458.144,159.780,"15,978","45,8144"
Cuba,231.195,-823.785,"-82,3785","23,1195"
Curaçao,12.1084,-689.335,"-68,9335",11.1899
Cyprus,351.595,333.669,"33,3669","35,1595"
Czechia,500.880,144.208,"14,4208","50,088"
South Korea,390.339,1.257.543,"125,7543","39,0339"
Congo,-43.276,153.136,"15,3136","-4,3276"
Denmark,556.759,12.5655,5.1900,"55,6759"
Djibouti,11.5877,431.447,"43,1447",5.1900
Dominica,153.017,-613.881,"-61,3881","15,3017"
Dominican Republic,184.896,-699.018,"-69,9018","18,4896"
Ecuador,-2.299,-785.250,"-78,525","-0,2299"
Egypt,300.392,312.394,"31,2394","30,0392"
El Salvador,136.894,-891.872,"-89,1872","13,6894"
Equatorial Guinea,3.7500,8.7833,8.1900,7.1900
Eritrea,153.333,389.333,"38,9333","15,3333"
Estonia,594.370,247.535,"24,7535","59,437"
Ethiopia,9.0250,387.469,"38,7469",10.1899
Faeroe Islands,620.097,-67.716,"-6,7716","62,0097"
Falkland Islands (Malvinas),-517.012,-578.494,"-57,8494","-51,7012"
Fiji,-181.416,1.784.415,"178,4415","-18,1416"
Finland,601.692,249.402,"24,9402","60,1692"
France,488.534,2.3488,2.1900,"48,8534"
French Guiana,4.9333,-523.333,"-52,3333",9.1900
French Polynesia,-175.333,-1.495.667,"-149,5667","-17,5333"
Gabon,3.925,9.4537,4.1900,"0,3925"
Gambia,134.531,-166.794,"-16,6794","13,4531"
Georgia,416.941,448.337,"44,8337","41,6941"
Germany,525.244,134.105,"13,4105","52,5244"
Ghana,5.5560,-1.969,"-0,1969",5.1900
Gibraltar,361.447,-53.526,"-5,3526","36,1447"
Greece,379.534,237.490,"23,749","37,9534"
Greenland,641.835,-517.216,"-51,7216","64,1835"
Grenada,12.0564,-617.485,"-61,7485",11.1899
Guadeloupe,159.985,-617.255,"-61,7255","15,9985"
Guam,134.757,1.447.489,"144,7489","13,4757"
Guatemala,146.127,-905.307,"-90,5307","14,6127"
Guinea,9.5716,-136.476,"-13,6476",5.1900
Guinea-Bissau,11.8636,-155.977,"-15,5977",9.1900
Guyana,6.8045,-581.553,"-58,1553",8.1900
Haiti,185.392,-723.350,"-72,335","18,5392"
Holy See,419.024,12.4533,4.1900,"41,9024"
Honduras,140.818,-872.068,"-87,2068","14,0818"
Hungary,474.980,190.399,"19,0399","47,498"
Iceland,641.355,-218.954,"-21,8954","64,1355"
India,286.667,772.167,"77,2167","28,6667"
Indonesia,-62.118,1.068.416,"106,8416","-6,2118"
Iran (Islamic Republic of),356.944,514.215,"51,4215","35,6944"
Iraq,333.406,444.009,"44,4009","33,3406"
Ireland,533.331,-62.489,"-6,2489","53,3331"
Isle of Man,541.500,-44.833,"-4,4833","54,15"
Israel,317.690,352.163,"35,2163","31,769"
Italy,418.947,12.4811,4.1900,"41,8947"
Jamaica,179.970,-767.936,"-76,7936","17,997"
Japan,356.895,1.396.917,"139,6917","35,6895"
Jordan,319.552,359.450,"35,945","31,9552"
Kazakhstan,511.801,714.460,"71,446","51,1801"
Kenya,-12.833,368.167,"36,8167","-1,2833"
Kiribati,1.3272,1.729.813,"172,9813",2.1900
Kuwait,293.697,479.783,"47,9783","29,3697"
Kyrgyzstan,428.700,745.900,"74,59","42,87"
Lao People's Democratic Republic,179.667,1.026.000,"102,6","17,9667"
Latvia,569.460,241.059,"24,1059","56,946"
Lebanon,339.000,354.833,"35,4833","33,9"
Lesotho,-293.167,274.833,"27,4833","-29,3167"
Liberia,6.3005,-107.969,"-10,7969",2.1900
Libya,328.752,131.875,"13,1875","32,8752"
Liechtenstein,471.415,9.5215,4.1900,"47,1415"
Lithuania,546.892,252.798,"25,2798","54,6892"
Luxembourg,496.117,6.1300,12.1899,"49,6117"
Madagascar,-189.137,475.361,"47,5361","-18,9137"
Malawi,-139.669,337.873,"33,7873","-13,9669"
Malaysia,3.1412,1.016.865,"101,6865",12.1899
Maldives,4.1748,735.089,"73,5089",12.1899
Mali,12.6500,-80.000,-8,6.1900
Malta,358.997,145.147,"14,5147","35,8997"
Marshall Islands,7.0897,1.713.803,"171,3803",11.1899
Martinique,146.089,-610.733,"-61,0733","14,6089"
Mauritania,180.858,-159.785,"-15,9785","18,0858"
Mauritius,-201.619,574.989,"57,4989","-20,1619"
Mayotte,-127.794,452.272,"45,2272","-12,7794"
Mexico,194.273,-991.419,"-99,1419","19,4273"
Micronesia (Fed. States of),6.9174,1.581.588,"158,1588",9.1900
Monaco,437.333,7.4167,3.1900,"43,7333"
Mongolia,479.077,1.068.832,"106,8832","47,9077"
Montenegro,424.411,192.636,"19,2636","42,4411"
Montserrat,167.918,-622.106,"-62,2106","16,7918"
Morocco,340.133,-68.326,"-6,8326","34,0133"
Mozambique,-259.653,325.892,"32,5892","-25,9653"
Myanmar,197.450,961.297,"96,1297","19,745"
Namibia,-225.594,170.832,"17,0832","-22,5594"
Nauru,-5.308,1.669.112,"166,9112","-0,5308"
Nepal,277.017,853.206,"85,3206","27,7017"
Netherlands,523.740,4.8897,9.1900,"52,374"
New Caledonia,-222.763,1.664.572,"166,4572","-22,2763"
New Zealand,-412.866,1.747.756,"174,7756","-41,2866"
Nicaragua,12.1328,-862.504,"-86,2504",12.1899
Niger,135.137,2.1098,11.1899,"13,5137"
Nigeria,9.0574,7.4898,4.1900,11.1899
Niue,-190.585,-1.699.213,"-169,9213","-19,0585"
Northern Mariana Islands,152.123,1.457.545,"145,7545","15,2123"
Norway,599.127,10.7461,7.1900,"59,9127"
Oman,236.139,585.922,"58,5922","23,6139"
Pakistan,337.035,730.594,"73,0594","33,7035"
Palau,7.3426,1.344.789,"134,4789",2.1900
Panama,8.9958,-795.196,"-79,5196",10.1900
Papua New Guinea,-94.431,1.471.797,"147,1797","-9,4431"
Paraguay,-253.007,-576.359,"-57,6359","-25,3007"
Peru,-120.432,-770.282,"-77,0282","-12,0432"
Philippines,146.042,1.209.822,"120,9822","14,6042"
Poland,522.298,210.118,"21,0118","52,2298"
Portugal,387.169,-91.399,"-9,1399","38,7169"
Puerto Rico,184.663,-661.057,"-66,1057","18,4663"
Qatar,252.747,515.245,"51,5245","25,2747"
Republic of Korea,375.683,1.269.778,"126,9778","37,5683"
Republic of Moldova,470.056,288.575,"28,8575","47,0056"
Réunion,-208.823,554.504,"55,4504","-20,8823"
Romania,444.328,261.043,"26,1043","44,4328"
Russian Federation,557.550,376.218,"37,6218","55,755"
Rwanda,-19.474,300.579,"30,0579","-1,9474"
Saint Helena,-159.387,-57.168,"-5,7168","-15,9387"
Saint Kitts and Nevis,172.948,-627.261,"-62,7261","17,2948"
Saint Lucia,140.060,-609.910,"-60,991","14,006"
Saint Pierre and Miquelon,467.738,-561.815,"-56,1815","46,7738"
Saint Vincent and the Grenadines,131.587,-612.248,"-61,2248","13,1587"
Samoa,-138.333,-1.717.667,"-171,7667","-13,8333"
San Marino,439.333,12.4500,4.1900,"43,9333"
Sao Tome and Principe,3.365,6.7273,7.1900,"0,3365"
Saudi Arabia,246.905,467.096,"46,7096","24,6905"
Senegal,146.937,-174.441,"-17,4441","14,6937"
Serbia,448.176,204.633,"20,4633","44,8176"
Seychelles,-46.167,554.500,"55,45","-4,6167"
Sierra Leone,8.4840,-132.299,"-13,2299",4.1900
Singapore,1.2897,1.038.501,"103,8501",2.1900
Sint Maarten (Dutch part),180.260,-630.458,"-63,0458","18,026"
Slovakia,481.482,171.067,"17,1067","48,1482"
Slovenia,460.511,145.051,"14,5051","46,0511"
Solomon Islands,-94.333,1.599.500,"159,95","-9,4333"
Somalia,2.0416,453.435,"45,3435",11.1899
South Africa,-339.258,184.232,"18,4232","-33,9258"
South Sudan,4.8517,315.825,"31,5825",8.1900
Spain,404.165,-37.026,"-3,7026","40,4165"
Sri Lanka,6.9319,798.478,"79,8478",9.1900
State of Palestine,317.834,352.339,"35,2339","31,7834"
Sudan,155.518,325.324,"32,5324","15,5518"
Suriname,5.8664,-551.668,"-55,1668",9.1900
Swaziland,-263.167,311.333,"31,1333","-26,3167"
Sweden,593.326,180.649,"18,0649","59,3326"
Switzerland,469.481,7.4474,4.1900,"46,9481"
Syrian Arab Republic,335.086,363.084,"36,3084","33,5086"
Tajikistan,385.358,687.791,"68,7791","38,5358"
TFYR Macedonia,420.000,214.333,"21,4333",42
Thailand,137.220,1.005.252,"100,5252","13,722"
Timor-Leste,-85.601,1.255.668,"125,5668","-8,5601"
Togo,6.1375,1.2123,1.1900,12.1899
Tokelau,-93.800,-1.712.500,"-171,25","-9,38"
Tonga,-211.394,-1.752.032,"-175,2032","-21,1394"
Trinidad and Tobago,10.6662,-615.166,"-61,5166",6.1900
Tunisia,368.190,10.1658,12.1899,"36,819"
Turkey,399.199,328.543,"32,8543","39,9199"
Turkmenistan,379.500,583.833,"58,3833","37,95"
Turks and Caicos Islands,214.612,-711.419,"-71,1419","21,4612"
Tuvalu,-85.189,1.791.991,"179,1991","-8,5189"
Uganda,3.163,325.822,"32,5822","0,3163"
Ukraine,504.454,305.186,"30,5186","50,4454"
United Arab Emirates,244.648,543.618,"54,3618","24,4648"
United Kingdom,515.085,-1.257,"-0,1257","51,5085"
United Republic of Tanzania,-61.722,357.395,"35,7395","-6,1722"
United States,388.951,-770.364,"-77,0364","38,8951"
United States Virgin Islands,183.419,-649.307,"-64,9307","18,3419"
Uruguay,-348.335,-561.674,"-56,1674","-34,8335"
Uzbekistan,412.647,692.163,"69,2163","41,2647"
Vanuatu,-177.338,1.683.219,"168,3219","-17,7338"
Venezuela (Bolivarian Republic of),10.4880,-668.792,"-66,8792",4.1900
Viet Nam,210.245,1.058.412,"105,8412","21,0245"
Wallis and Futuna Islands,-132.816,-1.761.745,"-176,1745","-13,2816"
Western Sahara,271.532,-132.014,"-13,2014","27,1532"
Yemen,153.531,442.078,"44,2078","15,3531"
Zambia,-154.134,282.771,"28,2771","-15,4134"
Zimbabwe,-178.294,310.539,"31,0539","-17,8294"